sale_begin,sale_no,is_input
1765/02/14,A1395,no
1765/02/21,A1396,no
1765/02/26,A1397,no
1765/03/07,A1398,no
1765/03/12,A1399,no
1765/03/13,A1400,no
1765/03/15,A1401,no
1765/03/19,A1402,no
1765/03/20,A1403,no
1765/03/23,A1404,no
1765/03/25,A1405,no
1765/03/27,A1406,no
1765/03/29,A1407,no
1765/03/29,A1408,no
1765/04/01,A1409,no
1765/04/03,A1410,no
1765/04/04,A1411,no
1765/04/20,A1412,no
1765/04/22,A1413,no
1765/04/26,A1414,no
1765/05/02,A1415,no
1765/05/09,A1416,no
1765/05/10,A1417,no
1765/05/20,A1418,no
1765/05/22,A1419,no
1765/06/05,A1420,no
1765/06/13,A1421,no
1765/12/11,A1422,no
1765/12/18,A1423,no
1766/01/16,A1424,no
1766/01/22,A1425,no
1766/01/24,A1426,no
1766/01/24,A1427,no
1766/01/31,A1428,no
1766/02/05,A1429,no
1766/02/07,A1430,no
1766/02/12,A1431,no
1766/02/12,A1432,no
1766/02/18,A1433,no
1766/02/21,A1434,no
1766/02/21,A1435,no
1766/02/27,A1436,no
1766/03/03,A1437,no
1766/03/03,A1438,no
1766/03/12,A1439,no
1766/03/14,A1440,no
1766/03/19,A1441,no
1766/03/19,A1442,no
1766/03/24,A1443,no
1766/04/09,A1444,no
1766/04/09,A1445,no
1766/04/16,A1446,no
1766/04/18,A1447,no
1766/04/24,A1448,no
1766/04/30,A1449,no
1766/05/09,A1450,no
1766/05/11,A1451,no
1766/05/13,A1452,no
1766/05/15,A1453,no
1766/05/15,A1454,no
1766/06/05,A1455,no
1766/06/05,A1456,no
1766/07/24,A1457,no
1766/12/05,A1458,no
1766/12/12,A1459,no
1767/01/09,A1460,no
1767/01/12,A1461,no
1767/01/21,A1462,no
1767/01/21,A1463,no
1767/01/24,A1464,no
1767/01/27,A1465,no
1767/01/29,A1466,no
1767/02/14,A1467,no
1767/02/19,A1468,no
1767/02/25,A1469,no
1767/03/02,A1470,no
1767/03/20,A1471,no
1767/03/25,A1472,no
1767/03/31,A1473,no
1767/04/02,A1474,no
1767/04/09,A1475,no
1767/04/10,A1476,no
1767/04/18,A1477,no
1767/05/15,A1478,yes
1767/06/02,A1479,no
1767/12/08,A1480,no
1767/12/17,A1481,yes
1768/01/20,A1482,no
1768/01/30,A1483,no
1768/03/03,A1484,no
1768/03/11,A1485,no
1768/03/29,A1486,no
1768/04/21,A1487,no
1768/05/06,A1488,no
1768/05/19,A1489,no
1768/05/27,A1490,no
1768/06/14,A1491,no
1768/06/14,A1492,no
1768/06/15,A1493,no
1768/08/02,A1494,no
1768/08/10,A1495,no
1768/11/21,A1496,no
1768/12/22,A1497,no
1769/00/00,A1498,no
1769/01/17,A1499,no
1769/01/27,A1500,no
1769/02/04,A1501,no
1769/02/10,A1502,no
1769/02/11,A1503,no
1769/02/20,A1504,no
1769/02/24,A1505,no
1769/03/03,A1506,no
1769/03/08,A1507,no
1769/03/15,A1508,no
1769/03/22,A1509,no
1769/04/27,A1510,no
1769/05/15,A1511,no
1769/06/28,A1512,no
1769/07/31,A1513,no
1769/10/26,A1514,no
1770/01/26,A1515,yes
1770/02/01,A1516,no
1770/02/08,A1517,no
1770/02/09,A1518,no
1770/02/12,A1519,yes
1770/02/23,A1520,no
1770/02/27,A1521,no
1770/03/01,A1522,yes
1770/03/02,A1528,no
1770/03/07,A1523,no
1770/03/23,A1524,no
1770/03/26,A1525,no
1770/03/26,A1526,no
1770/03/30,A1527,no
1770/04/03,A1529,no
1770/04/03,A1530,no
1770/04/04,A1531,yes
1770/04/04,A1532,no
1770/04/10,A1533,no
1770/04/14,A1534,no
1770/04/23,A1535,no
1770/05/03,A1536,no
1770/05/11,A1537,no
1770/06/13,A1538,no
1770/07/18,A1539,no
1770/08/07,A1540,no
1770/12/10,A1541,no
1770/12/14,A1542,no
1770/12/14,A1543,no
1770/12/17,A1544,no
1770/12/18,A1545,no
1771/00/00,A1546,no
1771/01/21,A1547,no
1771/01/23,A1548,no
1771/02/01,A1549,no
1771/02/07,A1550,no
1771/02/12,A1551,no
1771/02/15,A1552,yes
1771/02/20,A1553,yes
1771/03/01,A1554,no
1771/03/08,A1555,no
1771/03/18,A1556,no
1771/03/19,A1557,no
1771/03/26,A1558,no
1771/03/28,A1559,no
1771/04/04,A1560,no
1771/04/08,A1561,no
1771/04/15,A1562,no
1771/04/18,A1563,yes
1771/04/22,A1564,no
1771/04/24,A1565,yes
1771/04/25,A1566,no
1771/05/02,A1567,no
1771/05/02,A1568,no
1771/05/08,A1569,no
1771/05/09,A1570,no
1771/05/13,A1571,no
1771/05/29,A1572,no
1771/05/31,A1573,no
1771/06/06,A1574,no
1771/06/21,A1571a,yes
1771/06/27,A1575,no
1771/07/00,A1576,no
1771/07/00,A1577,no
1772/01/09,A1578,no
1772/01/15,A1579,no
1772/01/25,A1580,no
1772/01/27,A1581,no
1772/01/31,A1582,no
1772/02/04,A1583,no
1772/02/05,A1584,no
1772/02/06,A1585,no
1772/02/17,A1586,no
1772/02/18,A1587,no
1772/02/20,A1588,yes
1772/02/27,A1589,no
1772/03/00,A1590,no
1772/03/06,A1591,no
1772/03/20,A1592,no
1772/03/23,A1593,no
1772/04/00,A1594,no
1772/04/02,A1595,no
1772/04/06,A1596,yes
1772/04/08,A1597,no
1772/04/13,A1598,no
1772/04/15,A1599,no
1772/04/25,A1600,no
1772/04/30,A1601,no
1772/05/14,A1602,no
1772/05/18,A1603,no
1772/05/20,A1604,no
1772/05/27,A1605,no
1772/06/03,A1606,no
1772/06/09,A1607,no
1772/06/11,A1608,no
1772/06/22,A1609,no
1772/06/24,A1610,no
1772/07/02,A1611,no
1772/07/17,A1612,no
1772/08/17,A1613,no
1772/10/29,A1614,no
1772/11/10,A1615,no
1772/11/10,A1616,no
1773/00/00,A1617,no
1773/01/00,A1618,no
1773/01/12,A1619,yes
1773/01/13,A1619a,yes
1773/01/19,A1620,no
1773/01/27,A1621,no
1773/02/05,A1622,no
1773/02/10,A1623,no
1773/02/12,A1624,no
1773/02/18,A1625,no
1773/02/18,A1626,no
1773/02/22,A1627,no
1773/02/25,A1628,no
1773/02/27,A1629,no
1773/02/27,A1630,no
1773/03/03,A1631,no
1773/03/05,A1632,no
1773/03/11,A1633,no
1773/03/12,A1634,no
1773/03/15,A1635,no
1773/03/19,A1636,no
1773/03/24,A1637,yes
1773/03/26,A1638,no
1773/03/31,A1639,yes
1773/04/06,A1640,no
1773/04/20,A1641,no
1773/04/21,A1642,no
1773/04/26,A1642a,yes
1773/05/01,A1643,no
1773/05/10,A1644,no
1773/05/24,A1645,yes
1773/05/29,A1646,no
1773/06/04,A1647,no
1773/09/30,A1648,no
1773/11/15,A1649,no
1773/12/15,A1650,no
1774/01/06,A1651,no
1774/01/20,A1652,no
1774/01/24,A1653,no
1774/01/26,A1654,no
1774/01/26,A1655,yes
1774/01/27,A1656,no
1774/02/07,A1657,no
1774/02/11,A1658,no
1774/02/17,A1659,no
1774/02/18,A1660,no
1774/02/21,A1661,no
1774/03/02,A1662,no
1774/03/04,A1663,no
1774/03/09,A1664,no
1774/03/11,A1665,no
1774/03/18,A1666,no
1774/03/25,A1667,no
1774/04/07,A1668,no
1774/04/13,A1669a,yes
1774/04/13,A1669,no
1774/04/15,A1670,no
1774/04/21,A1671,no
1774/04/22,A1672,no
1774/04/27,A1673,no
1774/04/27,A1674,no
1774/04/29,A1675,no
1774/05/03,A1675a,yes
1774/05/16,A1676,no
1774/05/18,A1677,no
1774/05/20,A1678,no
1774/05/21,A1679,no
1774/06/02,A1680,no
1774/06/10,A1681,no
1774/06/11,A1682,no
1774/06/20,A1683,no
1774/06/29,A1684,yes
1774/07/08,A1685,no
1774/07/11,A1686,no
1774/07/20,A1687,no
1774/09/12,A1688,yes
1774/09/26,A1689,no
1774/11/17,A1690,no
1774/12/14,A1691,no
1774/12/21,A1692,no
1775/01/10,A1693,no
1775/01/23,A1694,yes
1775/01/23,A1695,no
1775/02/03,A1696,no
1775/02/08,A1697,yes
1775/02/10,A1698,yes
1775/02/14,A1699,yes
1775/02/21,A1700,yes
1775/03/04,A1701,no
1775/03/09,A1702,no
1775/03/10,A1703,no
1775/03/13,A1704,no
1775/03/15,A1705,yes
1775/03/20,A1706,yes
1775/03/20,A1707,no
1775/03/24,A1708,no
1775/03/29,A1709,no
1775/03/31,A1710,no
1775/04/05,A1711,no
1775/04/07,A1712,no
1775/04/08,A1713,no
1775/04/12,A1714,no
1775/04/20,A1715,no
1775/04/27,A1716,yes
1775/04/28,A1717,no
1775/05/05,A1718,no
1775/05/10,A1719,no
1775/05/10,A1720,no
1775/05/12,A1721,no
1775/05/19,A1722,no
1775/05/22,A1723,no
1775/05/26,A1724,no
1775/06/14,A1725,yes
1775/06/30,A1726,yes
1775/07/11,A1727,yes
1775/07/31,A1728,yes
1775/09/04,A1729,no
1775/10/30,A1730,no
1775/10/31,A1731,no
1775/11/07,A1732,no
1775/11/20,A1733,no
1775/12/06,A1734,yes
1776/00/00,A1777,no
1776/01/16,A1735,no
1776/01/22,A1736,no
1776/01/26,A1737,yes
1776/02/07,A1738,no
1776/02/09,A1739,yes
1776/02/16,A1740,no
1776/02/19,A1741,no
1776/02/24,A1742,yes
1776/02/26,A1743,yes
1776/03/06,A1744,no
1776/03/08,A1745,no
1776/03/12,A1746,no
1776/03/13,A1747,no
1776/03/14,A1748,no
1776/03/20,A1749,no
1776/03/22,A1750,no
1776/03/23,A1751,no
1776/03/26,A1752,no
1776/03/29,A1753,no
1776/03/29,A1754,no
1776/04/03,A1755,no
1776/04/09,A1756,no
1776/04/18,A1757,no
1776/04/20,A1758,yes
1776/04/22,A1759,no
1776/04/23,A1760,no
1776/04/24,A1761,no
1776/04/29,A1762,no
1776/05/03,A1763,no
1776/05/10,A1764,no
1776/05/14,A1765,no
1776/05/16,A1766,no
1776/05/20,A1767,no
1776/05/23,A1768,no
1776/05/30,A1769,no
1776/07/30,A1770,no
1776/09/00,A1771,no
1776/10/28,A1772,no
1776/11/04,A1773,no
1776/11/27,A1774,no
1776/12/06,A1775,no
1776/12/09,A1776,no
1777/00/00,A1778,no
1777/01/02,A1779,no
1777/01/20,A1780,no
1777/01/22,A1781,no
1777/01/24,A1782,yes
1777/01/27,A1783,no
1777/01/31,A1784,no
1777/02/03,A1785,no
1777/02/10,A1786,no
1777/02/13,A1787,no
1777/02/14,A1788,no
1777/02/20,A1789,no
1777/02/26,A1790,no
1777/02/28,A1791,no
1777/02/28,A1792,no
1777/03/04,A1793,no
1777/03/06,A1794,no
1777/03/10,A1795,no
1777/03/14,A1796,yes
1777/03/17,A1797,no
1777/03/18,A1798,no
1777/03/21,A1799,no
1777/04/11,A1800,yes
1777/04/15,A1801,no
1777/04/16,A1802,no
1777/04/16,A1803,no
1777/04/17,A1804,no
1777/04/18,A1805,yes
1777/04/19,A1806,no
1777/04/25,A1807,yes
1777/04/28,A1808,no
1777/05/02,A1809,no
1777/05/15,A1810,no
1777/05/17,A1811,no
1777/05/30,A1812,yes
1777/06/03,A1813,no
1777/06/18,A1814,no
1777/06/25,A1815,no
1777/08/22,A1816,no
1777/09/27,A1817,no
1777/10/27,A1818,no
1777/12/03,A1819,no
1777/12/09,A1820,no
1777/12/09,A1821,no
1777/12/15,A1822,no
1777/12/19,A1823,no
1778/01/02,A1824,no
1778/01/09,A1825,no
1778/01/23,A1826,no
1778/01/26,A1827,no
